class,id,x,y,value
131,631,101,239,-0.743
0,632,661,318,0
41,633,537,417,0
0,634,661,318,0
62,635,304,335,0
0,636,661,318,0
0,637,661,318,0
5,638,539,371,0
100,639,446,350,-0.0823
0,640,655,316,0.8519
36,641,625,336,-0.2942
75,642,325,419,0.5136
12,643,581,504,0
27,644,434,465,0
102,645,387,396,0
80,646,550,290,-0.2342
64,647,106,207,-0.7456
64,648,128,211,0
10,649,688,284,-0.128
0,650,654,318,0.3612
5,651,521,354,0.296
15,652,406,474,0.4215
48,653,106,207,0.3612
0,654,655,316,0.4404
9,655,620,344,0
41,656,534,417,-0.3182
41,657,534,417,-0.3182
16,658,283,521,0.765
16,659,283,521,0.765
25,660,103,362,0
51,661,550,290,0.3237
156,662,698,266,-0.5859
39,663,80,434,0.6996
39,664,80,434,0.6996
19,665,521,354,-0.504
25,666,107,363,-0.0754
9,667,617,347,0.1149
12,668,581,504,-0.3544
144,669,624,264,-0.5411
119,670,435,253,-0.4336
63,671,590,276,0
85,672,581,504,-0.9011
17,673,131,400,0.6588
17,674,131,400,0.6588
69,675,172,275,0
93,676,589,321,-0.9188
93,677,589,321,-0.9188
21,678,654,318,-0.6705
83,679,103,362,-0.4019
4,680,589,321,0
4,681,589,321,0
188,682,202,290,-0.7964
25,683,107,363,-0.3412
7,684,539,371,-0.5673
12,685,556,496,-0.5719
55,686,496,303,-0.2942
0,687,655,316,0
19,688,494,361,0
19,689,494,361,0
12,690,583,523,0
40,691,159,413,-0.5859
139,692,596,387,-0.4939
4,693,580,332,0
4,694,580,332,0
19,695,494,361,0
19,696,494,361,0
83,697,107,363,-0.5106
12,698,581,504,0
28,699,386,393,0.6988
40,700,146,418,-0.4738
29,701,512,435,0
188,702,202,290,-0.296
17,703,146,418,-0.2732
17,704,146,418,0
40,705,146,418,-0.4199
29,706,512,435,-0.4019
56,707,509,421,0
102,708,388,394,0
47,709,565,466,0
17,710,160,408,0
0,711,654,318,0
0,712,660,308,0
3,713,539,371,0.7906
0,714,655,320,-0.296
40,715,146,418,-0.5859
25,716,107,363,-0.3335
40,717,162,434,0
0,718,643,328,0
40,719,153,419,-0.5994
12,720,581,504,-0.4226
73,721,597,418,0
25,722,107,363,0
59,723,407,386,0
29,724,523,463,-0.296
4,725,589,321,0.6739
4,726,589,321,0.6739
34,727,300,321,0.3802
11,728,373,479,0
11,729,373,479,0
12,730,581,504,0.7946
55,731,496,303,0.5661
73,732,606,415,0.4404
112,733,256,372,0
58,734,395,318,0.4479
53,735,184,384,-0.0314
55,736,492,295,0
0,737,655,316,0.8477
90,738,490,466,-0.5719
48,739,103,210,0.2244
4,740,560,316,0
7,741,537,417,0.4588
29,742,490,466,0.7003
0,743,654,318,0
76,744,550,331,0
12,745,581,504,-0.4215
17,746,150,415,0.5374
4,747,589,321,0
4,748,589,321,0
0,749,660,308,0
55,750,491,303,0
12,751,581,504,0.7707
65,752,80,434,0
65,753,80,434,0
35,754,471,400,0.6006
0,755,655,316,0.7717
115,756,165,229,0
83,757,115,359,-0.658
19,758,494,361,0
19,759,494,361,0
11,760,373,479,-0.1779
11,761,373,479,-0.1779
67,762,115,359,-0.6239
80,763,550,290,-0.3036
67,764,115,359,-0.6239
128,765,96,271,-0.4019
17,766,148,414,0
42,767,624,264,0
8,768,550,290,0.7901
115,769,165,229,0
194,770,236,400,-0.5423
0,771,655,316,0.2655
4,772,565,307,0
4,773,565,307,0
59,774,406,387,0
56,775,509,421,0
3,776,539,371,0.5815
17,777,146,418,0.4939
65,778,80,434,-0.2263
65,779,80,434,-0.2263
19,780,494,361,0.5399
19,781,494,361,0.5399
64,782,125,219,-0.6486
40,783,172,417,0.0772
17,784,148,413,0
0,785,655,320,0
17,786,148,413,0
22,787,586,386,0
