class,id,x,y,value
7,268,99.0,186.0,-0.25
4,269,496.0,303.0,-0.1531
4,270,583.0,511.0,0.0
2,271,688.0,284.0,0.3164
4,272,447.0,224.0,0.0
4,273,496.0,303.0,0.0
2,274,654.0,320.0,0.4404
2,275,654.0,318.0,0.0
0,276,523.0,463.0,0.296
2,277,678.0,293.0,0.7513
0,278,523.0,463.0,0.396
0,279,547.0,289.0,0.5562
4,280,159.0,413.0,0.0
4,281,584.0,509.0,0.2732
5,282,654.0,318.0,-0.296
0,283,283.0,446.0,0.7177
9,284,654.0,318.0,-0.636
39,285,420.0,427.0,-0.9281
2,286,653.0,317.0,0.0
6,287,582.0,523.0,-0.3412
4,288,600.0,390.0,0.0
4,289,600.0,390.0,0.0
4,290,582.0,523.0,0.0
2,291,590.0,276.0,0.5255
4,292,176.0,261.0,0.0258
4,293,600.0,390.0,0.0
0,294,523.0,463.0,0.296
2,295,692.0,289.0,0.1779
0,296,609.0,351.0,0.6542
4,297,496.0,306.0,0.0
4,298,496.0,306.0,0.0
4,299,547.0,420.0,0.0
4,300,574.0,400.0,0.0
4,301,176.0,261.0,0.0258
5,302,556.0,369.0,-0.5499
4,303,466.0,350.0,0.0
0,304,440.0,290.0,0.4753
4,305,533.0,342.0,0.0
4,306,134.0,375.0,0.1531
2,307,580.0,332.0,0.3818
2,308,580.0,332.0,0.3818
4,309,634.0,351.0,0.0
40,310,436.0,253.0,-0.7073
4,311,146.0,418.0,0.0
57,312,190.0,450.0,-0.7695
0,313,523.0,463.0,0.296
1,314,154.0,416.0,0.5859
1,315,78.0,298.0,0.3382
1,316,149.0,413.0,0.3818
0,317,190.0,450.0,0.7695
4,318,304.0,335.0,0.0
5,319,616.0,344.0,-0.25
4,320,390.0,275.0,0.25
2,321,570.0,313.0,0.4168
2,322,653.0,317.0,0.2057
29,323,581.0,504.0,-0.7845
4,324,303.0,347.0,-0.3595
36,325,534.0,419.0,-0.8689
7,326,78.0,298.0,0.0
5,327,599.0,285.0,-0.2023
2,328,652.0,321.0,0.6239
2,329,678.0,293.0,0.6696
9,330,659.0,318.0,-0.4854
5,331,534.0,227.0,-0.089
12,332,653.0,317.0,-0.8126
0,333,556.0,369.0,0.5719
0,334,455.0,372.0,0.6249
0,335,455.0,372.0,0.6249
9,336,688.0,284.0,-0.521
9,337,691.0,276.0,-0.8553
4,338,568.0,306.0,0.0
2,339,663.0,294.0,0.3182
15,340,283.0,521.0,-0.5859
15,341,283.0,521.0,-0.5859
5,342,556.0,369.0,-0.4215
5,343,590.0,276.0,-0.3182
4,344,593.0,270.0,0.0258
4,345,434.0,251.0,-0.0258
0,346,393.0,433.0,0.4404
4,347,146.0,418.0,0.0772
7,348,132.0,338.0,0.0
5,349,692.0,289.0,0.0
4,350,393.0,433.0,0.0
4,351,571.0,486.0,0.0
10,352,195.0,408.0,-0.4767
5,353,565.0,307.0,-0.5023
5,354,565.0,307.0,-0.5023
4,355,303.0,347.0,0.0
10,356,118.0,345.0,-0.4019
5,357,653.0,317.0,-0.1877
2,358,653.0,317.0,0.3612
5,359,496.0,303.0,-0.4824
5,360,496.0,303.0,-0.3182
0,361,420.0,427.0,0.5093
4,362,152.0,412.0,0.0
1,363,222.0,318.0,0.6696
4,364,531.0,352.0,0.0
