class,id,x,y,value
137,352,195,408,-0.4767
54,353,565,307,-0.5023
54,354,565,307,-0.5023
110,355,303,347,0
191,356,118,345,-0.4019
14,357,653,317,-0.1877
14,358,653,317,0.3612
44,359,496,303,-0.4824
44,360,496,303,-0.3182
25,361,420,427,0.5093
6,362,152,412,0
35,363,222,318,0.6696
69,364,531,352,0
69,365,531,352,0
34,366,80,434,0
34,367,80,434,0
7,368,548,440,0.4019
4,369,563,494,0
53,370,655,317,-0.5216
80,371,652,316,-0.4508
30,372,614,343,0
30,373,624,340,-0.4015
41,374,589,321,-0.128
41,375,589,321,-0.128
184,376,176,261,0.6808
53,377,669,302,0.2732
34,378,80,434,0.4939
34,379,80,434,0.4939
34,380,80,434,-0.296
34,381,80,434,-0.296
9,382,556,496,0
80,383,655,316,-0.6486
118,384,537,415,-0.8481
39,385,652,321,-0.4767
41,386,580,332,0
41,387,580,332,0
51,388,387,433,0
0,389,103,362,0
46,390,426,482,0.2247
28,391,494,361,0.2443
28,392,494,361,0.2443
118,393,535,419,-0.4215
57,394,459,463,-0.2144
45,395,574,400,0.7279
11,396,534,419,-0.2023
16,397,646,337,0
170,398,586,386,0.0382
4,399,556,495,0.6369
50,400,95,258,0
16,401,646,337,0
30,402,616,344,0.6369
16,403,646,337,0
16,404,646,337,0
10,405,671,287,0
12,406,580,332,0.8494
12,407,580,332,0.8494
16,408,646,337,0
30,409,617,347,-0.5267
16,410,646,337,0
37,411,533,342,0.4404
26,412,583,523,-0.5106
95,413,574,400,-0.6486
30,414,620,343,0.1501
118,415,537,415,-0.6381
168,416,95,258,-0.8932
14,417,654,318,0
353,418,556,369,-0.7783
36,419,406,474,0.765
96,420,624,340,-0.5423
23,421,584,516,0
28,422,494,361,0.4753
28,423,494,361,0.4753
54,424,570,313,-0.5256
4,425,563,480,0
9,426,556,495,0
14,427,654,320,0
16,428,644,322,-0.1695
80,429,654,318,-0.7579
6,430,149,413,-0.3182
19,431,523,463,0.4404
81,432,474,427,0
51,433,387,433,0
41,434,580,332,0
41,435,580,332,0
14,436,655,320,0
306,437,176,261,0
9,438,556,495,0
17,439,184,384,-0.3612
11,440,537,417,0.5859
