x,y,sentiment
420,427,0.0
382,466,0.0
80,434,0.0
80,434,0.0
106,207,0.0
500,426,-0.7034
637,346,0.0
688,284,-0.6808
386,393,-0.636
531,352,-0.3724
531,352,-0.3724
589,321,-0.836
589,321,-0.836
688,284,0.0
531,423,0.3612
382,466,0.0
609,337,0.0
678,293,0.727
550,290,0.2571
382,466,0.0
544,378,0.0
283,521,-0.69
283,521,-0.69
382,466,0.0
106,207,-0.2732
103,210,-0.4767
537,417,0.6369
204,371,0.7345
492,461,-0.8126
678,293,-0.6351
653,316,0.0
549,294,0.0
106,207,-0.2732
104,361,0.0
678,293,-0.7955
640,330,0.0
191,433,0.1007
101,239,0.25
587,308,0.4019
651,312,0.0
131,400,0.0
131,400,0.0
654,318,-0.2942
518,341,0.0
471,400,0.0
581,504,-0.7177
106,207,0.0
115,359,-0.3382
656,243,0.659
176,261,-0.6597
580,332,0.5423
580,332,0.5423
353,450,0.0
283,521,-0.3802
283,521,-0.3802
146,418,0.0
434,250,0.0
550,290,-0.6155
471,400,0.6696
625,336,0.0
382,466,0.0
531,352,0.0
531,352,0.0
131,400,0.0
131,400,0.0
406,474,0.3595
106,207,0.0
382,466,0.0
106,207,0.0
619,341,0.0
382,466,0.0772
496,303,0.5994
80,434,0.0
80,434,0.0
584,321,0.9169
521,354,0.0
655,316,0.2732
659,313,-0.2914
364,501,-0.4926
494,361,0.1984
494,361,0.1984
106,207,-0.7456
537,417,-0.5267
384,396,0.0
661,318,0.5423
223,421,0.0
661,318,0.3182
184,386,0.6705
101,239,-0.743
661,318,0.0
537,417,0.0
661,318,0.0
304,335,0.0
661,318,0.0
661,318,0.0
539,371,0.0
446,350,-0.0823
655,316,0.8519
625,336,-0.2942
325,419,0.5136
581,504,0.0
434,465,0.0
387,396,0.0
550,290,-0.2342
106,207,-0.7456
128,211,0.0
688,284,-0.128
654,318,0.3612
521,354,0.296
406,474,0.4215
106,207,0.3612
655,316,0.4404
620,344,0.0
534,417,-0.3182
534,417,-0.3182
283,521,0.765
283,521,0.765
103,362,0.0
550,290,0.3237
698,266,-0.5859
80,434,0.6996
80,434,0.6996
521,354,-0.504
107,363,-0.0754
617,347,0.1149
581,504,-0.3544
624,264,-0.5411
435,253,-0.4336
590,276,0.0
581,504,-0.9011
131,400,0.6588
131,400,0.6588
172,275,0.0
589,321,-0.9188
589,321,-0.9188
654,318,-0.6705
103,362,-0.4019
589,321,0.0
589,321,0.0
202,290,-0.7964
107,363,-0.3412
539,371,-0.5673
556,496,-0.5719
496,303,-0.2942
655,316,0.0
494,361,0.0
494,361,0.0
583,523,0.0
159,413,-0.5859
596,387,-0.4939
580,332,0.0
580,332,0.0
494,361,0.0
494,361,0.0
107,363,-0.5106
581,504,0.0
386,393,0.6988
146,418,-0.4738
512,435,0.0
202,290,-0.296
146,418,-0.2732
146,418,0.0
146,418,-0.4199
512,435,-0.4019
509,421,0.0
388,394,0.0
565,466,0.0
160,408,0.0
654,318,0.0
660,308,0.0
539,371,0.7906
655,320,-0.296
146,418,-0.5859
107,363,-0.3335
162,434,0.0
643,328,0.0
153,419,-0.5994
581,504,-0.4226
597,418,0.0
107,363,0.0
407,386,0.0
523,463,-0.296
589,321,0.6739
589,321,0.6739
300,321,0.3802
373,479,0.0
373,479,0.0
581,504,0.7946
496,303,0.5661
606,415,0.4404
256,372,0.0
395,318,0.4479
184,384,-0.0314
492,295,0.0
655,316,0.8477
490,466,-0.5719
103,210,0.2244
560,316,0.0
537,417,0.4588
490,466,0.7003
654,318,0.0
550,331,0.0
581,504,-0.4215
150,415,0.5374
589,321,0.0
589,321,0.0
660,308,0.0
491,303,0.0
581,504,0.7707
80,434,0.0
80,434,0.0
471,400,0.6006
655,316,0.7717
165,229,0.0
115,359,-0.658
494,361,0.0
494,361,0.0
373,479,-0.1779
373,479,-0.1779
115,359,-0.6239
550,290,-0.3036
115,359,-0.6239
96,271,-0.4019
148,414,0.0
624,264,0.0
550,290,0.7901
165,229,0.0
236,400,-0.5423
655,316,0.2655
565,307,0.0
565,307,0.0
406,387,0.0
509,421,0.0
539,371,0.5815
146,418,0.4939
80,434,-0.2263
80,434,-0.2263
494,361,0.5399
494,361,0.5399
125,219,-0.6486
172,417,0.0772
148,413,0.0
655,320,0.0
148,413,0.0
586,386,0.0
154,420,0.0
654,318,0.0
148,413,0.0
406,387,0.5562
655,244,0.0
654,318,-0.5362
539,391,-0.3612
539,391,0.0772
397,323,0.7212
397,323,0.7212
104,364,0.4767
107,209,0.2263
146,418,0.3124
146,418,0.6229
148,414,0.0
628,252,0.6786
534,341,0.0
574,400,-0.12
108,369,-0.6908
184,384,0.8151
494,361,0.0
494,361,0.0
162,434,0.0
626,343,-0.8465
537,417,0.4215
103,362,0.0
626,343,-0.8465
626,343,-0.8465
655,316,-0.5927
148,413,-0.4995
626,343,-0.8465
373,479,0.0
373,479,0.0
626,343,-0.8465
148,413,0.0258
148,413,0.0
534,341,-0.5267
655,316,0.4404
76,242,0.0
534,341,-0.6625
655,316,0.4404
148,413,0.0
655,316,-0.5362
655,316,0.3612
603,322,0.0
537,358,0.0
146,418,0.0
700,303,0.0
655,316,-0.4466
146,418,0.0
655,317,0.0
162,434,-0.5423
550,331,0.0
436,253,0.3987
610,387,0.0
103,210,-0.6124
123,397,0.0
184,384,0.0
162,434,0.3382
610,387,-0.2235
402,305,0.5719
99,186,-0.0572
610,387,-0.5267
455,372,-0.6808
455,372,-0.6808
99,186,-0.0572
544,378,0.5983
682,300,0.0
103,210,-0.5574
610,387,0.6705
614,365,-0.4019
406,387,0.0
525,400,-0.5859
590,267,0.0
544,378,-0.5267
469,400,-0.815
655,286,0.4926
590,276,-0.7964
610,387,0.0
390,448,0.1531
469,400,0.0
537,295,-0.5106
641,332,0.0
583,515,0.1635
537,295,0.0
590,276,-0.296
654,318,0.0
555,496,0.0
496,300,-0.6187
103,360,0.8614
654,318,0.0
537,417,-0.3506
103,360,0.3182
426,482,-0.0516
222,318,0.0
548,440,-0.1456
103,360,-0.6996
496,300,0.0
683,294,0.2716
387,433,0.0
618,331,0.4404
614,281,0.0
686,296,-0.7096
106,207,0.0
555,495,0.0
505,387,-0.6166
659,318,0.34
394,427,0.1027
283,521,0.0
283,521,0.0
426,482,0.0
117,346,0.0
537,417,0.1531
537,417,-0.1531
614,281,0.0
505,387,0.0
537,417,0.5754
652,321,0.0
537,417,0.0
505,387,0.0
614,281,0.0
448,466,0.0
592,359,0.4404
184,386,0.0
184,386,0.0
654,316,0.0
406,474,0.0
184,386,0.0
560,494,-0.8238
184,386,0.0
184,386,0.0
560,494,-0.8617
496,303,0.0
592,359,-0.6369
592,359,0.0
560,494,0.0
560,494,0.0
560,494,-0.3786
589,321,0.4215
589,321,0.4215
376,476,-0.5574
593,272,0.0
593,272,0.0
154,417,0.0
406,474,0.0
655,320,0.0
592,359,-0.5696
116,348,0.0
589,321,0.0
589,321,0.0
407,386,0.6114
688,284,0.6597
651,317,0.1102
407,386,0.3657
407,386,-0.6124
492,306,-0.25
492,306,-0.25
614,281,0.0
523,463,-0.6219
686,295,0.4404
580,332,-0.3412
580,332,-0.3412
123,397,0.7609
283,521,0.0
283,521,0.0
469,400,-0.8188
419,345,-0.9336
583,515,0.0
283,521,0.0
283,521,0.0
283,521,0.0
283,521,0.0
80,434,-0.2411
80,434,-0.2411
283,521,0.0
283,521,0.0
283,521,0.0
283,521,0.0
301,334,0.0
491,300,0.0
654,316,0.4404
616,343,0.3612
537,295,-0.8271
619,346,0.0
570,285,-0.3724
688,284,-0.8689
448,435,0.0485
688,284,0.0
654,316,0.0772
572,414,-0.2244
534,419,-0.7506
575,395,0.2228
116,348,0.0
580,332,0.4939
580,332,0.4939
618,343,-0.8866
154,417,-0.5562
619,346,-0.0516
496,303,-0.8679
146,418,0.4215
499,304,0.7261
644,327,0.0
578,384,0.0
615,369,0.1511
440,290,0.7418
625,337,0.0
644,327,-0.5905
589,321,0.4215
589,321,0.4215
589,321,-0.4696
589,321,-0.4696
583,275,0.0
585,522,0.0
600,390,0.0
537,417,0.0
523,463,-0.4939
560,494,0.0
640,330,-0.2789
551,328,0.0
131,400,-0.5562
131,400,-0.5562
564,513,-0.3724
108,368,-0.6486
589,321,-0.5267
589,321,-0.5267
497,300,-0.4023
610,317,0.0
655,320,0.6822
283,521,0.7783
283,521,0.7783
564,513,0.4215
537,417,0.0
564,513,0.0
580,332,0.8176
580,332,0.8176
580,332,-0.8534
580,332,-0.8534
537,295,0.4215
119,348,0.6114
537,295,0.5859
534,417,-0.6458
116,348,0.0
686,291,0.0
614,365,0.0
99,244,0.0
615,369,0.0
576,310,0.0
592,359,0.5095
581,400,-0.6597
481,446,0.0
496,303,-0.6289
396,430,0.6597
639,330,0.6249
496,300,0.6828
434,250,-0.3612
621,344,0.5859
534,419,0.0
561,496,0.0
688,304,0.296
162,434,0.0
523,463,-0.3612
589,321,0.0
589,321,0.0
281,400,0.0
544,378,0.2263
661,287,-0.296
396,430,-0.1197
655,312,0.34
523,434,0.0
496,300,-0.1511
523,434,-0.3612
